Account_ID,Customer_ID,Account_Type,Branch_Code,Branch_City,Opening_Date,Current_Balance,Status
A000000119,C00079,Current,BR1018,Ahmedabad,2026-03-22,3815516,Active
A000000120,C00080,Savings,BR1016,Bengaluru,2022-03-14,251274,Active
A000000121,C00080,Current,BR1030,Chennai,2023-08-01,4336679,Active
A000000122,C00081,Savings,BR1005,Hyderabad,2023-11-05,445892,Active
A000000123,C00082,Savings,BR1011,Hyderabad,2024-10-01,1073461,Active
A000000124,C00083,Current,BR1024,Pune,2021-02-07,4881755,Active
A000000125,C00084,Savings,BR1015,Hyderabad,2026-05-28,1361755,Active
A000000126,C00085,Savings,BR1017,Kolkata,2025-04-25,1410209,Active
A000000127,C00086,Savings,BR1021,Ahmedabad,2026-07-22,142317,Active
A000000128,C00087,Current,BR1017,Ahmedabad,2022-10-19,2175680,Active
A000000129,C00087,Savings,BR1002,Hyderabad,2023-06-15,131766,Active
A000000130,C00088,Savings,BR1025,Hyderabad,2026-06-04,1072363,Active
A000000131,C00089,Savings,BR1030,Hyderabad,2020-03-14,489565,Active
A000000132,C00090,Current,BR1013,Pune,2024-07-14,3598354,Inactive
A000000133,C00091,Savings,BR1025,Jaipur,2025-10-15,838072,Active
A000000134,C00091,Current,BR1004,Ahmedabad,2026-07-03,1012681,Active
A000000135,C00092,Savings,BR1017,Delhi,2020-12-15,358990,Active
A000000136,C00093,Savings,BR1010,Bengaluru,2025-12-01,939072,Active
A000000137,C00093,Current,BR1014,Lucknow,2025-03-13,3685505,Closed
A000000138,C00094,Savings,BR1023,Chennai,2025-02-17,268039,Active
A000000139,C00094,Current,BR1023,Bengaluru,2025-05-11,2043010,Active
A000000140,C00095,Savings,BR1027,Jaipur,2024-04-11,1095456,Active
A000000141,C00096,Savings,BR1028,Chennai,2026-07-21,602478,Active
A000000142,C00096,Current,BR1026,Bengaluru,2026-07-25,2821212,Active
A000000143,C00097,Savings,BR1011,Chennai,2026-02-16,1393054,Active
A000000144,C00097,Current,BR1021,Ahmedabad,2023-02-18,260799,Active
A000000145,C00098,Savings,BR1016,Kolkata,2024-01-08,931868,Active
A000000146,C00098,Current,BR1021,Hyderabad,2023-08-11,3141304,Active
A000000147,C00099,Savings,BR1003,Kolkata,2023-08-20,1021980,Active
A000000148,C00099,Current,BR1004,Hyderabad,2026-01-26,1279636,Active
A000000149,C00100,Current,BR1006,Lucknow,2025-08-25,919686,Active
A000000150,C00101,Savings,BR1012,Jaipur,2022-04-24,805896,Active
A000000151,C00101,Current,BR1009,Mumbai,2023-03-06,448440,Active
A000000152,C00102,Savings,BR1011,Mumbai,2025-12-04,224373,Active
A000000153,C00102,Current,BR1021,Hyderabad,2024-11-06,4470971,Active
A000000154,C00103,Savings,BR1010,Pune,2022-05-18,331523,Active
A000000155,C00104,Savings,BR1015,Bengaluru,2024-05-19,650512,Active
A000000156,C00104,Current,BR1026,Mumbai,2025-06-21,1301251,Active
A000000157,C00105,Savings,BR1003,Hyderabad,2023-01-11,12399,Active
A000000158,C00105,Current,BR1013,Lucknow,2023-05-14,362011,Active
A000000159,C00106,Savings,BR1023,Mumbai,2026-01-05,134396,Inactive
A000000160,C00107,Current,BR1024,Delhi,2026-03-01,2347013,Active
A000000161,C00107,Savings,BR1002,Pune,2025-08-17,1311334,Active
A000000162,C00108,Current,BR1006,Ahmedabad,2024-08-15,3146771,Active
A000000163,C00109,Savings,BR1004,Mumbai,2026-02-15,1206561,Active
A000000164,C00110,Savings,BR1007,Lucknow,2026-04-09,381174,Active
A000000165,C00111,Savings,BR1024,Pune,2025-01-15,733496,Active
A000000166,C00112,Current,BR1030,Pune,2022-01-27,962227,Active
A000000167,C00113,Savings,BR1030,Chennai,2026-08-02,1139576,Active
A000000168,C00113,Current,BR1022,Hyderabad,2026-07-30,2956394,Active
A000000169,C00114,Savings,BR1030,Lucknow,2023-10-01,559459,Active
A000000170,C00115,Current,BR1026,Kolkata,2021-02-07,288894,Active
A000000171,C00116,Savings,BR1018,Kolkata,2025-06-01,1199804,Active
A000000172,C00116,Current,BR1024,Pune,2025-08-15,295976,Active
A000000173,C00117,Current,BR1005,Pune,2025-03-15,2064815,Inactive
A000000174,C00118,Savings,BR1004,Chennai,2024-07-04,1465722,Inactive
A000000175,C00118,Current,BR1011,Ahmedabad,2022-11-05,1055295,Active
A000000176,C00119,Savings,BR1029,Mumbai,2023-11-12,1214174,Active
A000000177,C00120,Savings,BR1012,Pune,2021-08-30,496479,Active
A000000178,C00121,Savings,BR1009,Bengaluru,2025-12-16,378580,Active
A000000179,C00122,Savings,BR1029,Kolkata,2022-02-25,606466,Active
A000000180,C00123,Savings,BR1030,Kolkata,2023-09-30,960106,Active
A000000181,C00124,Savings,BR1015,Jaipur,2020-03-15,537252,Active
A000000182,C00125,Current,BR1030,Chennai,2025-10-16,4260185,Active
A000000183,C00126,Savings,BR1030,Ahmedabad,2023-09-04,619585,Active
A000000184,C00126,Current,BR1002,Pune,2024-09-02,698213,Active
A000000185,C00127,Savings,BR1022,Ahmedabad,2022-06-08,1116048,Active
A000000186,C00127,Current,BR1029,Bengaluru,2022-10-06,4226639,Active
A000000187,C00128,Savings,BR1004,Delhi,2026-05-15,138672,Active
A000000188,C00129,Savings,BR1006,Chennai,2024-10-09,1445826,Inactive
A000000189,C00129,Current,BR1007,Mumbai,2025-01-17,4452864,Active
A000000190,C00130,Current,BR1005,Mumbai,2024-03-16,1774744,Active
A000000191,C00131,Savings,BR1010,Hyderabad,2026-08-04,1104493,Active
A000000192,C00132,Savings,BR1021,Bengaluru,2026-04-05,397409,Active
A000000193,C00133,Savings,BR1013,Lucknow,2024-07-28,1156102,Active
A000000194,C00133,Current,BR1009,Kolkata,2020-03-28,929764,Inactive
A000000195,C00134,Savings,BR1004,Pune,2025-05-14,835507,Active
A000000196,C00134,Current,BR1011,Chennai,2026-07-20,2618799,Active
A000000197,C00135,Savings,BR1022,Bengaluru,2023-08-16,1238074,Active
A000000198,C00136,Savings,BR1029,Delhi,2023-05-21,629604,Active
A000000199,C00137,Savings,BR1020,Pune,2020-09-17,77966,Active
A000000200,C00137,Current,BR1003,Pune,2026-07-20,433260,Active
A000000201,C00138,Savings,BR1022,Pune,2022-01-22,1364984,Active
A000000202,C00138,Current,BR1009,Chennai,2024-02-05,2474187,Active
A000000203,C00139,Savings,BR1007,Hyderabad,2023-10-20,1031097,Active
A000000204,C00140,Savings,BR1022,Lucknow,2022-10-25,874136,Active
A000000205,C00141,Current,BR1001,Chennai,2026-04-13,1734570,Active
A000000206,C00141,Savings,BR1008,Mumbai,2026-02-03,951032,Active
A000000207,C00142,Current,BR1013,Hyderabad,2025-01-31,2262526,Active
A000000208,C00143,Current,BR1001,Pune,2025-09-30,2477141,Active
A000000209,C00144,Current,BR1028,Chennai,2021-10-06,734957,Active
A000000210,C00145,Savings,BR1011,Pune,2025-02-14,829010,Active
A000000211,C00146,Savings,BR1022,Mumbai,2026-07-20,852793,Active
A000000212,C00146,Current,BR1025,Delhi,2020-07-15,977697,Active
A000000213,C00147,Savings,BR1004,Chennai,2024-11-23,381870,Active
A000000214,C00147,Current,BR1022,Mumbai,2025-03-20,3819310,Active
A000000215,C00148,Current,BR1013,Delhi,2024-10-06,2452506,Inactive
A000000216,C00149,Savings,BR1029,Mumbai,2023-11-16,1277819,Active
A000000217,C00150,Savings,BR1009,Jaipur,2023-02-27,153245,Active
A000000218,C00151,Savings,BR1030,Ahmedabad,2025-03-05,823439,Active
A000000219,C00152,Savings,BR1006,Ahmedabad,2026-07-19,340286,Active
A000000220,C00153,Current,BR1027,Chennai,2025-07-12,4378815,Active
A000000221,C00153,Savings,BR1028,Jaipur,2024-05-18,498990,Active
A000000222,C00154,Savings,BR1018,Lucknow,2025-04-14,458589,Active
A000000223,C00154,Current,BR1002,Hyderabad,2024-11-03,4319867,Active
A000000224,C00155,Current,BR1016,Bengaluru,2023-12-05,4298630,Active
A000000225,C00156,Current,BR1012,Delhi,2025-12-19,4844380,Active
A000000226,C00156,Savings,BR1014,Pune,2025-06-22,1100653,Active
A000000227,C00157,Savings,BR1018,Kolkata,2020-10-11,51410,Active
A000000228,C00157,Current,BR1014,Chennai,2024-05-04,2827746,Active
A000000229,C00158,Savings,BR1026,Mumbai,2024-06-21,305145,Active
A000000230,C00159,Savings,BR1007,Lucknow,2025-07-05,1456068,Active
A000000231,C00159,Current,BR1009,Kolkata,2024-01-12,3955491,Active
A000000232,C00160,Savings,BR1002,Jaipur,2021-03-09,497542,Active
A000000233,C00160,Current,BR1026,Ahmedabad,2023-04-27,739772,Active
A000000234,C00161,Savings,BR1026,Bengaluru,2026-06-14,995425,Active
A000000235,C00162,Current,BR1027,Ahmedabad,2026-06-11,4780938,Active
A000000236,C00162,Savings,BR1021,Mumbai,2024-11-02,306739,Active
A000000237,C00163,Current,BR1020,Jaipur,2025-10-22,2344730,Active
A000000238,C00164,Savings,BR1016,Mumbai,2024-08-15,878647,Active
A000000239,C00164,Current,BR1020,Mumbai,2025-03-28,2076766,Active
A000000240,C00165,Savings,BR1024,Pune,2026-03-21,1208991,Active
A000000241,C00165,Current,BR1007,Jaipur,2025-05-01,1195388,Active
A000000242,C00166,Savings,BR1006,Ahmedabad,2026-03-30,1085161,Active
A000000243,C00166,Current,BR1027,Lucknow,2026-05-20,2909308,Active
A000000244,C00167,Savings,BR1030,Pune,2021-07-26,162927,Active
A000000245,C00167,Current,BR1019,Kolkata,2023-02-02,4256038,Active
A000000246,C00168,Savings,BR1018,Jaipur,2023-08-18,135859,Active
A000000247,C00169,Savings,BR1013,Bengaluru,2024-05-11,376185,Active
A000000248,C00170,Current,BR1011,Hyderabad,2025-11-27,1075555,Active
A000000249,C00171,Savings,BR1005,Hyderabad,2023-02-24,822277,Active
A000000250,C00172,Savings,BR1006,Ahmedabad,2025-04-02,393746,Active
A000000251,C00173,Savings,BR1012,Chennai,2026-04-10,504358,Active
A000000252,C00174,Savings,BR1013,Delhi,2021-10-25,1302087,Active
A000000253,C00175,Savings,BR1019,Mumbai,2025-09-04,933178,Active
A000000254,C00176,Savings,BR1011,Pune,2026-08-03,1477852,Closed
A000000255,C00177,Savings,BR1001,Pune,2024-11-15,1151399,Active
A000000256,C00178,Savings,BR1027,Hyderabad,2025-05-21,1248377,Active
A000000257,C00179,Current,BR1007,Bengaluru,2026-03-24,4884297,Active
A000000258,C00179,Savings,BR1024,Kolkata,2025-10-31,720183,Active
A000000259,C00180,Savings,BR1021,Mumbai,2026-07-30,1210782,Active
A000000260,C00180,Current,BR1030,Hyderabad,2025-06-08,4027325,Active
A000000261,C00181,Savings,BR1003,Jaipur,2025-05-14,450008,Inactive
A000000262,C00182,Savings,BR1015,Kolkata,2026-01-02,330149,Active
A000000263,C00183,Savings,BR1023,Lucknow,2025-08-24,188013,Active
A000000264,C00184,Current,BR1030,Chennai,2025-08-13,3071384,Active
A000000265,C00185,Savings,BR1014,Bengaluru,2021-04-03,1221974,Active
A000000266,C00186,Current,BR1029,Chennai,2026-03-09,541426,Inactive
A000000267,C00186,Savings,BR1029,Ahmedabad,2026-06-07,886892,Active
A000000268,C00187,Savings,BR1020,Lucknow,2025-02-24,1222316,Active
A000000269,C00187,Current,BR1013,Lucknow,2022-05-01,3469952,Active
A000000270,C00188,Savings,BR1005,Mumbai,2025-11-18,418792,Active
A000000271,C00189,Current,BR1023,Lucknow,2020-07-23,4819619,Active
A000000272,C00189,Savings,BR1022,Chennai,2019-02-20,223399,Active
A000000273,C00190,Savings,BR1024,Kolkata,2021-11-30,568977,Active
A000000274,C00190,Current,BR1005,Hyderabad,2025-07-04,2499385,Active
A000000275,C00191,Current,BR1014,Mumbai,2021-06-11,1667018,Active
A000000276,C00192,Savings,BR1023,Hyderabad,2024-01-14,578390,Active
A000000277,C00193,Savings,BR1022,Mumbai,2026-03-20,637330,Active
A000000278,C00194,Savings,BR1027,Lucknow,2024-05-12,1010738,Active
A000000279,C00195,Savings,BR1001,Lucknow,2024-08-29,492744,Active
A000000280,C00196,Savings,BR1011,Ahmedabad,2025-10-31,216678,Active
A000000281,C00196,Current,BR1019,Mumbai,2022-04-07,3074808,Active
A000000282,C00197,Savings,BR1001,Chennai,2025-03-17,1066403,Active
A000000283,C00198,Savings,BR1004,Ahmedabad,2025-10-15,56161,Active
A000000284,C00199,Savings,BR1003,Chennai,2026-01-14,461314,Active
A000000285,C00200,Savings,BR1022,Bengaluru,2024-01-28,1491810,Active
A000000286,C00201,Savings,BR1003,Ahmedabad,2024-04-22,1274711,Active
A000000287,C00201,Current,BR1029,Delhi,2025-11-22,3203686,Active
A000000288,C00202,Current,BR1009,Chennai,2026-06-13,3753328,Active
A000000289,C00202,Savings,BR1028,Chennai,2024-05-08,551242,Active
A000000290,C00203,Savings,BR1029,Jaipur,2026-04-13,353912,Active
A000000291,C00204,Savings,BR1018,Pune,2019-10-12,1203404,Inactive
A000000292,C00205,Savings,BR1002,Mumbai,2024-09-26,839791,Inactive
A000000293,C00206,Savings,BR1029,Lucknow,2022-06-01,539159,Active
A000000294,C00207,Savings,BR1006,Kolkata,2022-02-21,1079207,Inactive
A000000295,C00208,Savings,BR1022,Delhi,2026-06-17,1172392,Active
A000000296,C00208,Current,BR1025,Delhi,2026-04-13,4742760,Active
A000000297,C00209,Savings,BR1014,Delhi,2021-02-17,374088,Active
A000000298,C00209,Current,BR1020,Hyderabad,2026-03-23,1649755,Active
A000000299,C00210,Savings,BR1024,Bengaluru,2024-03-03,882091,Active
A000000300,C00211,Savings,BR1014,Jaipur,2025-06-14,237739,Active
A000000301,C00211,Current,BR1015,Pune,2026-04-21,2449298,Active
A000000302,C00212,Savings,BR1014,Delhi,2024-07-30,27749,Active
A000000303,C00213,Savings,BR1022,Ahmedabad,2023-04-29,46604,Active
A000000304,C00214,Savings,BR1013,Bengaluru,2025-09-27,989864,Active
A000000305,C00214,Current,BR1023,Ahmedabad,2025-05-24,2188199,Active
A000000306,C00215,Savings,BR1008,Chennai,2025-09-29,168796,Active
A000000307,C00216,Savings,BR1027,Jaipur,2026-01-13,1252412,Active
A000000308,C00216,Current,BR1022,Kolkata,2023-11-13,3263688,Active
A000000309,C00217,Savings,BR1014,Lucknow,2023-07-23,940968,Closed
A000000310,C00218,Current,BR1003,Hyderabad,2026-07-09,4662416,Active
A000000311,C00219,Savings,BR1020,Delhi,2024-09-12,226698,Active
A000000312,C00219,Current,BR1018,Ahmedabad,2024-11-13,3803872,Active
A000000313,C00220,Savings,BR1013,Jaipur,2024-07-09,1452557,Active
A000000314,C00220,Current,BR1001,Hyderabad,2025-07-31,991642,Active
A000000315,C00221,Savings,BR1012,Chennai,2026-07-23,522499,Active
A000000316,C00221,Current,BR1011,Ahmedabad,2025-10-17,2746397,Active
A000000317,C00222,Savings,BR1014,Delhi,2026-01-22,240288,Active
A000000318,C00223,Savings,BR1002,Hyderabad,2023-03-10,480412,Active
A000000319,C00224,Savings,BR1016,Pune,2025-01-22,710271,Active
A000000320,C00225,Savings,BR1021,Lucknow,2019-11-01,125410,Active
A000000321,C00225,Current,BR1009,Delhi,2024-03-12,1096565,Active
A000000322,C00226,Savings,BR1020,Kolkata,2019-07-03,744527,Active
A000000323,C00227,Savings,BR1007,Kolkata,2026-08-01,1073399,Active
A000000324,C00228,Savings,BR1025,Jaipur,2026-05-07,1101496,Active
A000000325,C00229,Savings,BR1005,Bengaluru,2024-02-20,1300499,Active
A000000326,C00229,Current,BR1016,Pune,2024-02-28,4302806,Active
A000000327,C00230,Current,BR1007,Hyderabad,2025-07-18,3020944,Active
A000000328,C00231,Savings,BR1020,Chennai,2025-10-22,1219144,Active
A000000329,C00232,Savings,BR1014,Ahmedabad,2026-06-04,523487,Active
A000000330,C00232,Current,BR1030,Jaipur,2026-07-29,3296728,Active
A000000331,C00233,Savings,BR1005,Mumbai,2025-02-13,705667,Active
A000000332,C00234,Savings,BR1008,Hyderabad,2025-10-22,1027861,Active
A000000333,C00235,Savings,BR1006,Pune,2026-01-10,1059007,Active
A000000334,C00236,Savings,BR1026,Delhi,2025-11-29,921916,Active
A000000335,C00237,Savings,BR1020,Chennai,2026-01-31,703011,Active
A000000336,C00237,Current,BR1020,Bengaluru,2026-06-18,2269426,Inactive
A000000337,C00238,Current,BR1022,Pune,2025-07-16,4775737,Active
A000000338,C00238,Savings,BR1017,Chennai,2026-07-09,1383507,Active
A000000339,C00239,Savings,BR1008,Pune,2021-03-25,133217,Active
A000000340,C00240,Savings,BR1017,Mumbai,2026-07-10,704453,Active
A000000341,C00240,Current,BR1004,Hyderabad,2026-06-15,3756972,Active
A000000342,C00241,Savings,BR1010,Lucknow,2026-05-09,464987,Active
A000000343,C00241,Current,BR1023,Lucknow,2024-06-05,1005837,Active
A000000344,C00242,Current,BR1009,Chennai,2026-03-03,2610651,Active
A000000345,C00242,Savings,BR1019,Kolkata,2023-11-01,846754,Active
A000000346,C00243,Savings,BR1030,Hyderabad,2025-08-01,304065,Active
A000000347,C00243,Current,BR1016,Chennai,2025-09-06,2205311,Active
A000000348,C00244,Savings,BR1006,Chennai,2026-02-04,1409535,Active
A000000349,C00244,Current,BR1030,Ahmedabad,2026-02-26,175536,Active
A000000350,C00245,Savings,BR1014,Ahmedabad,2022-08-07,802672,Inactive
A000000351,C00246,Savings,BR1002,Bengaluru,2026-04-04,954542,Active
A000000352,C00247,Savings,BR1019,Ahmedabad,2024-04-09,1279355,Active
A000000353,C00248,Savings,BR1019,Kolkata,2023-10-29,64053,Active
A000000354,C00249,Savings,BR1020,Delhi,2025-12-01,598379,Active
A000000355,C00250,Savings,BR1009,Bengaluru,2025-05-09,860929,Active
A000000356,C00251,Savings,BR1004,Hyderabad,2022-11-02,1498470,Active
A000000357,C00251,Current,BR1002,Ahmedabad,2024-12-23,4316493,Active
A000000358,C00252,Savings,BR1019,Kolkata,2019-09-11,306020,Active
A000000359,C00252,Current,BR1025,Delhi,2021-07-01,1776709,Active
A000000360,C00253,Savings,BR1023,Lucknow,2025-12-04,751368,Active
A000000361,C00253,Current,BR1010,Delhi,2019-10-10,3711097,Active
A000000362,C00254,Savings,BR1006,Ahmedabad,2022-10-27,1298734,Active
A000000363,C00254,Current,BR1012,Chennai,2026-03-21,2711144,Active
A000000364,C00255,Savings,BR1023,Bengaluru,2026-04-05,1301109,Active
A000000365,C00255,Current,BR1030,Lucknow,2025-07-06,4158464,Active
A000000366,C00256,Savings,BR1011,Hyderabad,2025-11-15,795088,Inactive
A000000367,C00257,Savings,BR1027,Mumbai,2021-04-15,806480,Active
A000000368,C00258,Savings,BR1025,Bengaluru,2026-05-18,1335745,Active
A000000369,C00259,Current,BR1011,Pune,2024-12-25,565409,Active
A000000370,C00259,Savings,BR1007,Kolkata,2022-03-30,615179,Active
A000000371,C00260,Savings,BR1005,Jaipur,2025-12-05,622796,Active
A000000372,C00260,Current,BR1004,Kolkata,2025-02-27,3551997,Active
A000000373,C00261,Savings,BR1022,Hyderabad,2024-12-14,556437,Active
